DrugA,DrugB,Interaction,Mechanism,risk_level
Mercaptopurine,Oxybuprocaine,The risk or severity of methemoglobinemia can be increased when Mercaptopurine is combined with Oxybuprocaine.,increase,risk
Mercaptopurine,Oxymetazoline,The risk or severity of adverse effects can be increased when Oxymetazoline is combined with Mercaptopurine.,increase,risk
Mercaptopurine,Oxytetracycline,The excretion of Mercaptopurine can be decreased when combined with Oxytetracycline.,decrease,no risk
Mercaptopurine,Ozanimod,The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Ozanimod.,increase,risk
Mercaptopurine,Quazepam,The therapeutic efficacy of Quazepam can be decreased when used in combination with Mercaptopurine.,decrease,no risk
Mercaptopurine,Quinapril,The excretion of Quinapril can be decreased when combined with Mercaptopurine.,decrease,no risk
Mercaptopurine,Quinidine,The serum concentration of Mercaptopurine can be increased when it is combined with Quinidine.,increase,no risk
Mercaptopurine,Quinine,The serum concentration of Mercaptopurine can be increased when it is combined with Quinine.,increase,no risk
Mercaptopurine,Ublituximab,The risk or severity of infection can be increased when Ublituximab is combined with Mercaptopurine.,increase,risk
Mercaptopurine,Upadacitinib,The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Upadacitinib.,increase,risk
Mercaptopurine,Urokinase,The risk or severity of bleeding can be increased when Urokinase is combined with Mercaptopurine.,increase,risk
Mercaptopurine,Vadadustat,The serum concentration of Vadadustat can be increased when it is combined with Mercaptopurine.,increase,no risk
Mercaptopurine,Valaciclovir,The excretion of Valaciclovir can be decreased when combined with Mercaptopurine.,decrease,no risk
Mercaptopurine,Valproic acid,The excretion of Mercaptopurine can be decreased when combined with Valproic acid.,decrease,no risk
Mercaptopurine,Varicella zoster vaccine (live/attenuated),The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Mercaptopurine.,increase,risk
Mercaptopurine,Varicella zoster vaccine (recombinant),The therapeutic efficacy of Varicella zoster vaccine (recombinant) can be decreased when used in combination with Mercaptopurine.,decrease,no risk
Mercaptopurine,Vedolizumab,The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Vedolizumab.,increase,risk
Mercaptopurine,Vibrio cholerae CVD 103-HgR strain live antigen,The therapeutic efficacy of Vibrio cholerae CVD 103-HgR strain live antigen can be decreased when used in combination with Mercaptopurine.,decrease,no risk
Mercaptopurine,Vigabatrin,Vigabatrin may increase the excretion rate of Mercaptopurine which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Mercaptopurine,Vilanterol,The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Vilanterol.,increase,risk
Mercaptopurine,Viloxazine,The serum concentration of Mercaptopurine can be increased when it is combined with Viloxazine.,increase,no risk
Mercaptopurine,Vinblastine,The risk or severity of adverse effects can be increased when Vinblastine is combined with Mercaptopurine.,increase,risk
Mercaptopurine,Vincristine,The risk or severity of adverse effects can be increased when Vincristine is combined with Mercaptopurine.,increase,risk
Mercaptopurine,Vindesine,The risk or severity of adverse effects can be increased when Vindesine is combined with Mercaptopurine.,increase,risk
Mercaptopurine,Vinorelbine,The risk or severity of adverse effects can be increased when Vinorelbine is combined with Mercaptopurine.,increase,risk
Mercaptopurine,Voclosporin,The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Voclosporin.,increase,risk
Mercaptopurine,Vorapaxar,The risk or severity of bleeding can be increased when Vorapaxar is combined with Mercaptopurine.,increase,risk
Mercaptopurine,Vorinostat,The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Vorinostat.,increase,risk
Mercaptopurine,Warfarin,The therapeutic efficacy of Warfarin can be decreased when used in combination with Mercaptopurine.,decrease,no risk
Mercaptopurine,Ximelagatran,The risk or severity of bleeding can be increased when Ximelagatran is combined with Mercaptopurine.,increase,risk
Mercaptopurine,Yellow fever vaccine,The risk or severity of infection can be increased when Yellow fever vaccine is combined with Mercaptopurine.,increase,risk
Mercaptopurine,Zafirlukast,The serum concentration of Zafirlukast can be decreased when it is combined with Mercaptopurine.,decrease,no risk
Mercaptopurine,Zaleplon,Zaleplon may increase the excretion rate of Mercaptopurine which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Mercaptopurine,Zidovudine,The risk or severity of adverse effects can be increased when Zidovudine is combined with Mercaptopurine.,increase,risk
