DrugA,DrugB,Interaction,Mechanism,risk_level
Etacrynic acid,Oxybenzone,Etacrynic acid may increase the excretion rate of Oxybenzone which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Etacrynic acid,Oxycodone,The therapeutic efficacy of Etacrynic acid can be decreased when used in combination with Oxycodone.,decrease,no risk
Etacrynic acid,Oxymorphone,The therapeutic efficacy of Etacrynic acid can be decreased when used in combination with Oxymorphone.,decrease,no risk
Etacrynic acid,Oxyphenbutazone,The therapeutic efficacy of Etacrynic acid can be decreased when used in combination with Oxyphenbutazone.,decrease,no risk
Etacrynic acid,Oxyphenisatin acetate,The risk or severity of dehydration can be increased when Etacrynic acid is combined with Oxyphenisatin acetate.,increase,risk
Etacrynic acid,Oxyquinoline,Etacrynic acid may increase the excretion rate of Oxyquinoline which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Etacrynic acid,Oxytetracycline,The risk or severity of neuromuscular blockade can be increased when Oxytetracycline is combined with Etacrynic acid.,increase,risk
Etacrynic acid,Quetiapine,Etacrynic acid may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Etacrynic acid,Quinapril,The risk or severity of adverse effects can be increased when Quinapril is combined with Etacrynic acid.,increase,risk
Etacrynic acid,Quinidine,Etacrynic acid may decrease the excretion rate of Quinidine which could result in a higher serum level.,decrease,no risk
Etacrynic acid,Quinine,The therapeutic efficacy of Quinine can be decreased when used in combination with Etacrynic acid.,decrease,no risk
Etacrynic acid,Udenafil,The risk or severity of hypotension can be increased when Udenafil is combined with Etacrynic acid.,increase,risk
Etacrynic acid,Vaborbactam,Etacrynic acid may increase the excretion rate of Vaborbactam which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Etacrynic acid,Vadadustat,The serum concentration of Vadadustat can be increased when it is combined with Etacrynic acid.,increase,no risk
Etacrynic acid,Valaciclovir,The risk or severity of nephrotoxicity can be increased when Valaciclovir is combined with Etacrynic acid.,increase,risk
Etacrynic acid,Valbenazine,Etacrynic acid may increase the excretion rate of Valbenazine which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Etacrynic acid,Valdecoxib,The therapeutic efficacy of Etacrynic acid can be decreased when used in combination with Valdecoxib.,decrease,no risk
Etacrynic acid,Valganciclovir,Etacrynic acid may increase the excretion rate of Valganciclovir which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Etacrynic acid,Valsartan,The risk or severity of adverse effects can be increased when Valsartan is combined with Etacrynic acid.,increase,risk
Etacrynic acid,Vamorolone,The risk or severity of hypokalemia can be increased when Vamorolone is combined with Etacrynic acid.,increase,risk
Etacrynic acid,Vancomycin,Etacrynic acid may decrease the excretion rate of Vancomycin which could result in a higher serum level.,decrease,no risk
Etacrynic acid,Vardenafil,The risk or severity of hypotension can be increased when Vardenafil is combined with Etacrynic acid.,increase,risk
Etacrynic acid,Varenicline,Etacrynic acid may increase the excretion rate of Varenicline which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Etacrynic acid,Vecuronium,The therapeutic efficacy of Vecuronium can be increased when used in combination with Etacrynic acid.,increase,no risk
Etacrynic acid,Venlafaxine,Etacrynic acid may increase the excretion rate of Venlafaxine which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Etacrynic acid,Verapamil,Etacrynic acid may increase the excretion rate of Verapamil which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Etacrynic acid,Vericiguat,The risk or severity of adverse effects can be increased when Etacrynic acid is combined with Vericiguat.,increase,risk
Etacrynic acid,Vilanterol,The risk or severity of hypokalemia can be increased when Etacrynic acid is combined with Vilanterol.,increase,risk
Etacrynic acid,Vildagliptin,The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Etacrynic acid.,decrease,no risk
Etacrynic acid,Viloxazine,Etacrynic acid may increase the excretion rate of Viloxazine which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Etacrynic acid,Viomycin,The risk or severity of neuromuscular blockade can be increased when Etacrynic acid is combined with Viomycin.,increase,risk
Etacrynic acid,Vortioxetine,Etacrynic acid may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Etacrynic acid,Warfarin,The protein binding of Warfarin can be decreased when combined with Etacrynic acid.,decrease,no risk
Etacrynic acid,Zalcitabine,The excretion of Zalcitabine can be decreased when combined with Etacrynic acid.,decrease,no risk
Etacrynic acid,Zaleplon,Etacrynic acid may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Etacrynic acid,Zanamivir,Etacrynic acid may increase the excretion rate of Zanamivir which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Etacrynic acid,Ziconotide,The risk or severity of CNS depression can be increased when Etacrynic acid is combined with Ziconotide.,increase,risk
Etacrynic acid,Zidovudine,The excretion of Zidovudine can be decreased when combined with Etacrynic acid.,decrease,no risk
Etacrynic acid,Zofenopril,Etacrynic acid may increase the hypotensive activities of Zofenopril.,increase,no risk
Etacrynic acid,Zoledronic acid,The risk or severity of hypocalcemia can be increased when Etacrynic acid is combined with Zoledronic acid.,increase,risk
Ondansetron,Bilastine,The risk or severity of QTc prolongation can be increased when Bilastine is combined with Ondansetron.,increase,risk
Ondansetron,Bimekizumab,The metabolism of Ondansetron can be increased when combined with Bimekizumab.,increase,no risk
Ondansetron,Binimetinib,The metabolism of Binimetinib can be decreased when combined with Ondansetron.,decrease,no risk
Ondansetron,Biperiden,The metabolism of Ondansetron can be decreased when combined with Biperiden.,decrease,no risk
Ondansetron,Boceprevir,The metabolism of Ondansetron can be decreased when combined with Boceprevir.,decrease,no risk
Ondansetron,Bortezomib,The metabolism of Ondansetron can be decreased when combined with Bortezomib.,decrease,no risk
Ondansetron,Bosentan,The metabolism of Ondansetron can be increased when combined with Bosentan.,increase,no risk
Ondansetron,Botulinum toxin type A,The risk or severity of CNS depression can be increased when Botulinum toxin type A is combined with Ondansetron.,increase,risk
Ondansetron,Botulinum toxin type B,The risk or severity of CNS depression can be increased when Botulinum toxin type B is combined with Ondansetron.,increase,risk
Ondansetron,Bretylium,The risk or severity of QTc prolongation can be increased when Bretylium is combined with Ondansetron.,increase,risk
Ondansetron,Brexanolone,The risk or severity of CNS depression can be increased when Ondansetron is combined with Brexanolone.,increase,risk
Ondansetron,Brexpiprazole,The risk or severity of CNS depression can be increased when Ondansetron is combined with Brexpiprazole.,increase,risk
Ondansetron,Brimonidine,Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Ondansetron.,increase,no risk
Ondansetron,Brivaracetam,The risk or severity of CNS depression can be increased when Ondansetron is combined with Brivaracetam.,increase,risk
Ondansetron,Bromazepam,The risk or severity of CNS depression can be increased when Ondansetron is combined with Bromazepam.,increase,risk
Ondansetron,Bromocriptine,The risk or severity of CNS depression can be increased when Ondansetron is combined with Bromocriptine.,increase,risk
Ondansetron,Bromotheophylline,The metabolism of Bromotheophylline can be decreased when combined with Ondansetron.,decrease,no risk
Ondansetron,Bromperidol,The risk or severity of CNS depression can be increased when Ondansetron is combined with Bromperidol.,increase,risk
Ondansetron,Brompheniramine,The risk or severity of CNS depression can be increased when Brompheniramine is combined with Ondansetron.,increase,risk
Ondansetron,Buclizine,The risk or severity of QTc prolongation can be increased when Buclizine is combined with Ondansetron.,increase,risk
Ondansetron,Budesonide,The metabolism of Ondansetron can be increased when combined with Budesonide.,increase,no risk
Ondansetron,Bupivacaine,The risk or severity of CNS depression can be increased when Bupivacaine is combined with Ondansetron.,increase,risk
Ondansetron,Buprenorphine,Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.,increase,no risk
Ondansetron,Bupropion,The metabolism of Ondansetron can be decreased when combined with Bupropion.,decrease,no risk
Ondansetron,Buserelin,The risk or severity of QTc prolongation can be increased when Buserelin is combined with Ondansetron.,increase,risk
Ondansetron,Buspirone,The risk or severity of CNS depression can be increased when Buspirone is combined with Ondansetron.,increase,risk
Ondansetron,Butabarbital,The risk or severity of CNS depression can be increased when Butabarbital is combined with Ondansetron.,increase,risk
Ondansetron,Butalbital,The risk or severity of CNS depression can be increased when Butalbital is combined with Ondansetron.,increase,risk
Ondansetron,Butaperazine,The risk or severity of CNS depression can be increased when Ondansetron is combined with Butaperazine.,increase,risk
Ondansetron,Butobarbital,The risk or severity of CNS depression can be increased when Ondansetron is combined with Butobarbital.,increase,risk
Ondansetron,Butorphanol,The risk or severity of CNS depression can be increased when Butorphanol is combined with Ondansetron.,increase,risk
Ondansetron,Butriptyline,The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Butriptyline.,increase,risk
Ondansetron,Gabapentin,The risk or severity of CNS depression can be increased when Ondansetron is combined with Gabapentin.,increase,risk
Ondansetron,Gabapentin enacarbil,The risk or severity of CNS depression can be increased when Ondansetron is combined with Gabapentin enacarbil.,increase,risk
Ondansetron,Gadobenic acid,The risk or severity of QTc prolongation can be increased when Gadobenic acid is combined with Ondansetron.,increase,risk
Ondansetron,Galantamine,The risk or severity of QTc prolongation can be increased when Galantamine is combined with Ondansetron.,increase,risk
Ondansetron,Gallamine triethiodide,The risk or severity of CNS depression can be increased when Gallamine triethiodide is combined with Ondansetron.,increase,risk
Ondansetron,Ganaxolone,"The risk or severity of sedation, somnolence, and CNS depression can be increased when Ondansetron is combined with Ganaxolone.",increase,risk
Ondansetron,Gatifloxacin,The metabolism of Ondansetron can be decreased when combined with Gatifloxacin.,decrease,no risk
Ondansetron,Gefitinib,The metabolism of Ondansetron can be decreased when combined with Gefitinib.,decrease,no risk
Ondansetron,Gemfibrozil,The metabolism of Ondansetron can be decreased when combined with Gemfibrozil.,decrease,no risk
Ondansetron,Gemifloxacin,The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Gemifloxacin.,increase,risk
Ondansetron,Gepirone,The risk or severity of QTc prolongation can be increased when Gepirone is combined with Ondansetron.,increase,risk
Ondansetron,Gilteritinib,The therapeutic efficacy of Ondansetron can be decreased when used in combination with Gilteritinib.,decrease,no risk
Ondansetron,Ginkgo biloba,The metabolism of Ondansetron can be decreased when combined with Ginkgo biloba.,decrease,no risk
Ondansetron,Givosiran,The serum concentration of Ondansetron can be increased when it is combined with Givosiran.,increase,no risk
Ondansetron,Glasdegib,The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Glasdegib.,increase,risk
Ondansetron,Gliclazide,The metabolism of Gliclazide can be decreased when combined with Ondansetron.,decrease,no risk
Ondansetron,Glimepiride,The metabolism of Ondansetron can be decreased when combined with Glimepiride.,decrease,no risk
Ondansetron,Glipizide,The metabolism of Glipizide can be decreased when combined with Ondansetron.,decrease,no risk
Ondansetron,Gliquidone,The metabolism of Gliquidone can be decreased when combined with Ondansetron.,decrease,no risk
Ondansetron,Glofitamab,The serum concentration of Ondansetron can be increased when it is combined with Glofitamab.,increase,no risk
Ondansetron,Glutethimide,The risk or severity of CNS depression can be increased when Ondansetron is combined with Glutethimide.,increase,risk
Ondansetron,Glyburide,The metabolism of Ondansetron can be decreased when combined with Glyburide.,decrease,no risk
Ondansetron,Glycerol phenylbutyrate,The metabolism of Ondansetron can be decreased when combined with Glycerol phenylbutyrate.,decrease,no risk
Ondansetron,Golimumab,The metabolism of Ondansetron can be increased when combined with Golimumab.,increase,no risk
