DrugA,DrugB,Interaction,Mechanism,risk_level
Urokinase,Ginkgo biloba,Ginkgo biloba may increase the anticoagulant activities of Urokinase.,increase,no risk
Urokinase,Hemin,Hemin may increase the anticoagulant activities of Urokinase.,increase,no risk
Urokinase,Heparin,Urokinase may increase the anticoagulant activities of Heparin.,increase,no risk
Urokinase,Hydroxyprogesterone caproate,The therapeutic efficacy of Urokinase can be decreased when used in combination with Hydroxyprogesterone caproate.,decrease,no risk
Urokinase,Hydroxyurea,The risk or severity of bleeding can be increased when Urokinase is combined with Hydroxyurea.,increase,risk
Urokinase,Ketoprofen,The risk or severity of bleeding and hemorrhage can be increased when Ketoprofen is combined with Urokinase.,increase,risk
Urokinase,Ketorolac,The risk or severity of bleeding and hemorrhage can be increased when Ketorolac is combined with Urokinase.,increase,risk
Urokinase,Obeticholic acid,The risk or severity of bleeding and bruising can be increased when Urokinase is combined with Obeticholic acid.,increase,risk
Urokinase,Obinutuzumab,The risk or severity of bleeding and hemorrhage can be increased when Urokinase is combined with Obinutuzumab.,increase,risk
Urokinase,Olaparib,The risk or severity of bleeding can be increased when Urokinase is combined with Olaparib.,increase,risk
Urokinase,Olsalazine,The risk or severity of bleeding can be increased when Olsalazine is combined with Urokinase.,increase,risk
Urokinase,Omacetaxine mepesuccinate,The risk or severity of bleeding can be increased when Urokinase is combined with Omacetaxine mepesuccinate.,increase,risk
Urokinase,Quinapril,The risk or severity of angioedema can be increased when Urokinase is combined with Quinapril.,increase,risk
Urokinase,Quinestrol,Quinestrol may decrease the anticoagulant activities of Urokinase.,decrease,no risk
Urokinase,Quinidine,The therapeutic efficacy of Urokinase can be increased when used in combination with Quinidine.,increase,no risk
Goserelin,Bromocriptine,The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Goserelin.,decrease,no risk
Goserelin,Brompheniramine,The risk or severity of QTc prolongation can be increased when Brompheniramine is combined with Goserelin.,increase,risk
Goserelin,Buclizine,The risk or severity of QTc prolongation can be increased when Buclizine is combined with Goserelin.,increase,risk
Goserelin,Budesonide,Goserelin may decrease the excretion rate of Budesonide which could result in a higher serum level.,decrease,no risk
Goserelin,Bumetanide,Bumetanide may increase the excretion rate of Goserelin which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Goserelin,Bupivacaine,The risk or severity of methemoglobinemia can be increased when Goserelin is combined with Bupivacaine.,increase,risk
Goserelin,Bupropion,Goserelin may decrease the excretion rate of Bupropion which could result in a higher serum level.,decrease,no risk
Goserelin,Buserelin,The risk or severity of QTc prolongation can be increased when Buserelin is combined with Goserelin.,increase,risk
Goserelin,Buspirone,Goserelin may decrease the excretion rate of Buspirone which could result in a higher serum level.,decrease,no risk
Goserelin,Butabarbital,Goserelin may decrease the excretion rate of Butabarbital which could result in a higher serum level.,decrease,no risk
Goserelin,Butriptyline,The risk or severity of QTc prolongation can be increased when Goserelin is combined with Butriptyline.,increase,risk
Goserelin,Gabapentin enacarbil,Goserelin may decrease the excretion rate of Gabapentin enacarbil which could result in a higher serum level.,decrease,no risk
Goserelin,Gadobenic acid,The risk or severity of QTc prolongation can be increased when Goserelin is combined with Gadobenic acid.,increase,risk
Goserelin,Gadodiamide,Goserelin may decrease the excretion rate of Gadodiamide which could result in a higher serum level.,decrease,no risk
Goserelin,Gadofosveset trisodium,Goserelin may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.,decrease,no risk
Goserelin,Gadopentetic acid,Goserelin may decrease the excretion rate of Gadopentetic acid which could result in a higher serum level.,decrease,no risk
Goserelin,Gadoteridol,Goserelin may decrease the excretion rate of Gadoteridol which could result in a higher serum level.,decrease,no risk
Goserelin,Galantamine,The risk or severity of QTc prolongation can be increased when Galantamine is combined with Goserelin.,increase,risk
Goserelin,Ganciclovir,Goserelin may decrease the excretion rate of Ganciclovir which could result in a higher serum level.,decrease,no risk
Goserelin,Gatifloxacin,The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Goserelin.,increase,risk
Goserelin,Gemcitabine,Goserelin may decrease the excretion rate of Gemcitabine which could result in a higher serum level.,decrease,no risk
Goserelin,Gemfibrozil,Goserelin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.,decrease,no risk
Goserelin,Gemifloxacin,The risk or severity of QTc prolongation can be increased when Goserelin is combined with Gemifloxacin.,increase,risk
